,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
160,Baku,5.850005850005851,10.475176360974313,53.52737502705042,26.874315811506897,34.51362907536076,18.181818181818183,40.40926169999999,49.8670924,Azerbaijan
161,Oslo,53.97215397215397,89.65792626114735,31.800476087426965,85.08006216440026,32.96365579903795,0.0,59.913868799999996,10.7522454,Norway
162,Stavanger,47.04574704574705,55.43724211366964,31.5191516987665,88.0597795755215,13.321753073222872,0.0,58.969975600000005,5.7331074,Norway
163,Trondheim,52.46285246285246,80.9796352988154,15.721705258602034,91.57504849074485,11.945483698556924,0.0,63.4305149,10.3950528,Norway
164,Bergen,52.48625248625248,85.34540130440571,19.909110582125077,92.19606034124621,7.763228220203103,9.090909090909092,40.926276200000004,-74.07701,Norway
165,Prague,33.85983385983386,57.6600559031013,44.93616100411166,69.80492656172778,31.640833778727952,27.27272727272727,50.0755381,14.4378005,Czech Republic
166,Bratislava,26.8047268047268,51.763609743111935,33.055615667604414,60.64533015335404,31.42704436130412,45.45454545454545,48.148596500000004,17.1077478,Slovakia
167,Budapest,21.305721305721306,52.69532809796353,73.98831421770178,50.036881765627385,31.15980758952432,27.27272727272727,47.497912,19.040235,Hungary
168,Bucharest,19.26991926991927,41.55463862638094,80.68599870157973,43.92131861608085,30.130946018172093,27.27272727272727,44.43044889999999,26.0979342,Romania
169,Ljubljana,30.303030303030305,67.78916544655931,92.60982471326554,62.952764829522735,29.502939604489576,27.27272727272727,46.0569465,14.5057515,Slovenia
170,Copenhagen,50.25155025155025,85.59829628643685,33.04479549880978,87.87347295942278,28.768038482095136,36.36363636363637,55.676096799999996,12.568337199999998,Denmark
171,Riyadh,66.5028665028665,44.93544522827101,12.421553776238909,69.2873534710728,28.768038482095136,9.090909090909092,24.7135517,46.67529570000001,Saudi Arabia
172,Zagreb,23.786123786123788,42.52628776786903,90.29430859121402,46.80479315761468,28.634420096205236,0.0,45.815010799999996,15.981918900000002,Croatia
173,Warsaw,34.3863343863344,56.56861440170372,93.22657433455961,57.97441052523318,28.2870122928915,9.090909090909092,52.2296756,21.012228699999998,Poland
174,Vilnius,20.814320814320816,75.17636097431121,88.81194546634927,64.6366164585967,22.808658471405664,18.181818181818183,54.6871555,25.2796514,Lithuania
175,Vienna,52.45115245115245,78.57047783841342,24.226357931183724,84.86700152909007,22.167290219134152,54.54545454545454,48.208174299999996,16.3738189,Austria
176,Doha,88.42868842868843,62.864368428058036,90.29430859121402,76.43155362877286,21.79315873864244,9.090909090909092,25.2854473,51.53103979999999,Qatar
177,Cologne,61.77606177606177,62.62478370823905,74.0207747240857,85.01486529591546,21.672902191341525,45.45454545454545,50.937531,6.9602786,Germany
178,Hamburg,64.05756405756405,81.96459470251565,73.3391040900238,87.49891269792093,19.588455371459112,36.36363636363637,53.5510846,9.9936819,Germany
179,Berlin,72.93787293787294,59.430320777319324,17.36637091538628,89.77215791214152,17.797969000534472,36.36363636363637,52.52000659999999,13.404954,Germany
180,Stuttgart,69.54486954486954,79.26261147344603,18.275265094135467,89.33346146729193,17.504008551576696,27.27272727272727,48.7758459,9.1829321,Germany
181,Aachen,63.37896337896337,69.77239451617197,12.648777320926206,89.40182974441134,5.986103687867451,27.27272727272727,50.7753455,6.083886800000001,Germany
182,Dresden,89.17748917748918,76.48076667110344,18.275265094135467,89.22521169518618,5.986103687867451,18.181818181818183,51.0504088,13.737262099999999,Germany
183,Munich,66.57306657306657,89.97737255423934,46.61328716727981,89.15114606164015,5.986103687867451,18.181818181818183,48.1351253,11.581980499999998,Germany
184,Minsk,11.419211419211422,38.826034872887,72.37610906730146,47.85055018283709,21.325494388027792,18.181818181818183,53.9006011,27.558971999999997,Belarus
185,Addis Ababa,0.0,57.31398908558499,92.60982471326554,22.49254033584619,20.283270978086584,9.090909090909092,8.9806034,38.757760499999996,Ethiopia
